date,close
2020-10-01,10619.13000000
2020-10-02,10570.40000000
2020-10-03,10542.06000000
2020-10-04,10666.63000000
2020-10-05,10792.21000000
2020-10-06,10599.66000000
2020-10-07,10666.39000000
2020-10-08,10925.57000000
2020-10-09,11050.64000000
2020-10-10,11293.22000000
2020-10-11,11369.02000000
2020-10-12,11528.25000000
2020-10-13,11420.56000000
2020-10-14,11417.89000000
2020-10-15,11505.12000000
2020-10-16,11319.32000000
2020-10-17,11360.20000000
2020-10-18,11503.14000000
2020-10-19,11751.47000000
2020-10-20,11909.99000000
2020-10-21,12780.96000000
2020-10-22,12968.52000000
2020-10-23,12923.07000000
2020-10-24,13111.73000000
2020-10-25,13028.83000000
2020-10-26,13052.19000000
2020-10-27,13636.17000000
2020-10-28,13266.40000000
2020-10-29,13455.70000000
2020-10-30,13560.10000000
2020-10-31,13791.00000000
2020-11-01,13761.50000000
2020-11-02,13549.37000000
2020-11-03,14023.53000000
2020-11-04,14144.01000000
2020-11-05,15590.02000000
2020-11-06,15579.92000000
2020-11-07,14818.30000000
2020-11-08,15475.10000000
2020-11-09,15328.41000000
2020-11-10,15297.21000000
2020-11-11,15684.24000000
2020-11-12,16291.86000000
2020-11-13,16320.70000000
2020-11-14,16070.45000000
2020-11-15,15957.00000000
2020-11-16,16713.57000000
2020-11-17,17659.38000000
2020-11-18,17776.12000000
2020-11-19,17802.82000000
2020-11-20,18655.67000000
2020-11-21,18703.80000000
2020-11-22,18414.43000000
2020-11-23,18368.00000000
2020-11-24,19160.01000000
2020-11-25,18719.11000000
2020-11-26,17149.47000000
2020-11-27,17139.52000000
2020-11-28,17719.85000000
2020-11-29,18184.99000000
2020-11-30,19695.87000000
2020-12-01,18764.96000000
2020-12-02,19204.09000000
2020-12-03,19421.90000000
2020-12-04,18650.52000000
2020-12-05,19147.66000000
2020-12-06,19359.40000000
2020-12-07,19166.90000000
2020-12-08,18324.11000000
2020-12-09,18541.28000000
2020-12-10,18254.63000000
2020-12-11,18036.53000000
2020-12-12,18808.69000000
2020-12-13,19174.99000000
2020-12-14,19273.14000000
2020-12-15,19426.43000000
2020-12-16,21335.52000000
2020-12-17,22797.16000000
2020-12-18,23107.39000000
2020-12-19,23821.61000000
2020-12-20,23455.52000000
2020-12-21,22719.71000000
2020-12-22,23810.79000000
2020-12-23,23232.76000000
2020-12-24,23729.20000000
2020-12-25,24712.47000000
2020-12-26,26493.39000000
2020-12-27,26281.66000000
2020-12-28,27079.41000000
2020-12-29,27385.00000000
2020-12-30,28875.54000000
2020-12-31,28923.63000000
2021-01-01,29331.69000000
2021-01-02,32178.33000000
2021-01-03,33000.05000000
2021-01-04,31988.71000000
2021-01-05,33949.53000000
2021-01-06,36769.36000000
2021-01-07,39432.28000000
2021-01-08,40582.81000000
2021-01-09,40088.22000000
2021-01-10,38150.02000000
2021-01-11,35404.47000000
2021-01-12,34051.24000000
2021-01-13,37371.38000000
2021-01-14,39144.50000000
2021-01-15,36742.22000000
2021-01-16,35994.98000000
2021-01-17,35828.61000000
2021-01-18,36631.27000000
2021-01-19,35891.49000000
2021-01-20,35468.23000000
2021-01-21,30850.13000000
2021-01-22,32945.17000000
2021-01-23,32078.00000000
2021-01-24,32259.90000000
2021-01-25,32254.20000000
2021-01-26,32467.77000000
2021-01-27,30366.15000000
2021-01-28,33364.86000000
2021-01-29,34252.20000000
2021-01-30,34262.88000000
2021-01-31,33092.98000000
2021-02-01,33526.37000000
2021-02-02,35466.24000000
2021-02-03,37618.87000000
2021-02-04,36936.66000000
2021-02-05,38290.24000000
2021-02-06,39186.94000000
2021-02-07,38795.69000000
2021-02-08,46374.87000000
2021-02-09,46420.42000000
2021-02-10,44807.58000000
2021-02-11,47969.51000000
2021-02-12,47287.60000000
2021-02-13,47153.69000000
2021-02-14,48577.79000000
2021-02-15,47911.10000000
2021-02-16,49133.45000000
2021-02-17,52119.71000000
2021-02-18,51552.60000000
2021-02-19,55906.00000000
2021-02-20,55841.19000000
2021-02-21,57408.57000000
2021-02-22,54087.67000000
2021-02-23,48891.00000000
2021-02-24,49676.20000000
2021-02-25,47073.73000000
2021-02-26,46276.87000000
2021-02-27,46106.43000000
2021-02-28,45135.66000000
2021-03-01,49587.03000000
2021-03-02,48440.65000000
2021-03-03,50349.37000000
2021-03-04,48374.09000000
2021-03-05,48751.71000000
2021-03-06,48882.20000000
2021-03-07,50971.75000000
2021-03-08,52375.17000000
2021-03-09,54884.50000000
2021-03-10,55851.59000000
2021-03-11,57773.16000000
2021-03-12,57221.72000000
2021-03-13,61188.39000000
2021-03-14,58968.31000000
2021-03-15,55605.20000000
2021-03-16,56900.75000000
2021-03-17,58912.97000000
2021-03-18,57648.16000000
2021-03-19,58030.01000000
2021-03-20,58102.28000000
2021-03-21,57351.56000000
2021-03-22,54083.25000000
2021-03-23,54340.89000000
2021-03-24,52303.65000000
2021-03-25,51293.78000000
2021-03-26,55025.59000000
2021-03-27,55817.14000000
2021-03-28,55777.63000000
2021-03-29,57635.47000000
2021-03-30,58746.57000000
2021-03-31,58740.55000000
2021-04-01,58720.44000000
2021-04-02,58950.01000000
2021-04-03,57051.94000000
2021-04-04,58202.01000000
2021-04-05,59129.99000000
2021-04-06,57991.15000000
2021-04-07,55953.45000000
2021-04-08,58077.52000000
2021-04-09,58142.54000000
2021-04-10,59769.13000000
2021-04-11,60002.43000000
2021-04-12,59860.00000000
2021-04-13,63575.00000000
2021-04-14,62959.53000000
2021-04-15,63159.98000000
2021-04-16,61334.80000000
2021-04-17,60006.66000000
2021-04-18,56150.01000000
2021-04-19,55633.14000000
2021-04-20,56425.00000000
2021-04-21,53787.63000000
2021-04-22,51690.96000000
2021-04-23,51125.14000000
2021-04-24,50047.84000000
2021-04-25,49066.77000000
2021-04-26,54001.39000000
2021-04-27,55011.97000000
2021-04-28,54846.22000000
2021-04-29,53555.00000000
2021-04-30,57694.27000000
2021-05-01,57800.37000000
2021-05-02,56578.21000000
2021-05-03,57169.39000000
2021-05-04,53200.01000000
